TITLE,LOCATION,SECTION,RUNNINGCOUNT,TEXT
ITEM,511,2,511,item
IVSTVS,512,2,512,iustus
LAVDO,513,2,513,laudo
LITVS/2,514,2,514,litus
NEGO,515,2,515,nego
PROCVL,516,2,516,procul
VMQVAM,517,2,517,umquam
VELVT/1,518,2,518,velut
AVIS,519,2,519,avis
EXTREMVS,520,2,520,extremus
OPTIMVS,521,2,521,optimus
PROPERO,522,2,522,propero
SVBEO/1,523,2,523,subeo
CONCEDO/1,524,2,524,concedo
CONSTO,525,2,525,consto
CVRSVS,526,2,526,cursus
FONS,527,2,527,fons
TEMPLVM,528,2,528,templum
TOT,529,2,529,tot
VINVM,530,2,530,vinum
CONFERO,531,2,531,confero
NAVIS,532,2,532,navis
NIHIL,533,2,533,nil
TAMQVAM/1,534,2,534,tamquam
TELLVS,535,2,535,tellus
VESTIS,536,2,536,vestis
AVRIS,537,2,537,auris
CORNV,538,2,538,cornu
DEFICIO,539,2,539,deficio
DIVES,540,2,540,dives
FACIES,541,2,541,facies
GAVDIVM,542,2,542,gaudium
MVTO/2,543,2,543,muto
OS/2,544,2,544,os (ossis)
PROBO,545,2,545,probo
QVOMODO/1,546,2,546,quomodo
DIVINVS/2,547,2,547,divinus
PATEO,548,2,548,pateo
PHOEBVS/N,549,2,549,Phoebus
PVRVS,550,2,550,purus
SPIRITVS,551,2,551,spiritus
TECTVM,552,2,552,tectum
VVLNVS,553,2,553,vulnus
AEVVM,554,2,554,aevum
CANDIDVS,555,2,555,candidus
FINGO,556,2,556,fingo
IVNGO,557,2,557,iungo
OFFICIVM,558,2,558,officium
PARCO,559,2,559,parco
PRIVS,560,2,560,prius
QVIN/1,561,2,561,quin
SPECIES,562,2,562,species
SVMO,563,2,563,sumo
ABSVM/1,564,2,564,absum
CITVS,565,2,565,citus
DIMITTO,566,2,566,dimitto
FRANGO,567,2,567,frango
MISCEO,568,2,568,misceo
MVSA/N,569,2,569,Musa
PORTA,570,2,570,porta
VALDE,571,2,571,valde
AVRA,572,2,572,aura
CANTVS,573,2,573,cantus
EXEO/1,574,2,574,exeo
FOEDVS/2,575,2,575,"foedus, adj."
HAVD,576,2,576,haud
INGREDIOR,577,2,577,ingredior
MOLLIS,578,2,578,mollis
MVNDVS/2,579,2,579,"mundus, adj."
MVRVS,580,2,580,murus
OPTO,581,2,581,opto
QVEROR,582,2,582,queror
QVONDAM,583,2,583,quondam
SVI/1,584,2,584,secum
SINVS,585,2,585,sinus
SOROR,586,2,586,soror
VLTIMVS,587,2,587,ultimus
ALLELVIA,588,2,588,Alleluia
AVCTOR,589,2,589,auctor
DOLEO,590,2,590,doleo
EDO/2,591,2,591,edo (eat)
FVNVS,592,2,592,funus
PARVVS/2,593,2,593,"minor, adj."
MORTVVS/2,594,2,594,mortuus
RESPICIO,595,2,595,respicio
SEPVLCRVM,596,2,596,sepulcrum
TVTVS,597,2,597,tutus
AMPLVS,598,2,598,amplus
